Ursprungslandet kan vara ett annat vid leveranstidpunkten.
ECCN-informationen som visas är endast för information och är inte en utfästelse om eller garanti för precisionen eller tillförlitligheten i dessa klassificeringar. All information tillhandahålls &quot;i befintligt skick&quot; och är föremål för förändringar utan avisering. All användning av angiven information sker på eget bevåg  och utanför Digi-Keys ansvar.
Index,Tillverkarens artikelnummer,Tillverkarens namn,Beskrivning,Leveranstid,Tillgänglighet,Lagerstatus,Inkuransmarginal %,Begärd kvantitet 1,Förpackningskvantitet 1,Förpackningstyp 1,Digi-Key-artikelnummer 1,Enhetspris 1,Sammanlagt pris 1,Minsta orderkvantitet 1,Kundreferens,Begärt artikelnummer,Ledtid i veckor,Datablad,Referensbeteckning,Importtariff för USA,Anmärkning,Artikelstatus,RoHS-status,REACH-status,Fuktkänslighetsnivå,ECCN,HTSUS,Ursprungsland,Miljöinformation,Originalartikelnummer,Bild,Produktnoteringar
1,860020374012,Würth Elektronik,CAP ALUM 470UF 20% 16V RADIAL TH,,1 299,I lager,,4,4,Cut Tape (CT),732-8799-1-ND,"2,39000","9,56 kr",1,"C10,C11,C12,C76",732-8799-1-ND,27,https://www.we-online.com/components/products/datasheet/860020374012.pdf,,	-,,Aktiv,Uppfyller ROHS3,Påverkas inte av REACH,Ej tillämpligt,EAR99,8532.22.0020,China,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/744/Certificate_of_Compliance_ROHS.pdf,732-8799-1-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1196/MFG_WCAP-ATG5.jpg,
2,108CKS6R3M,Cornell Dubilier Knowles,CAP ALUM 1000UF 20% 6.3V RADIAL,,24 038,I lager,,1,1,Bulk,1572-1314-ND,"4,32000","4,32 kr",1,C66,1572-1314-ND,20,https://www.cde.com/resources/catalogs/CKR_CKS.pdf,,	-,,Aktiv,Uppfyller ROHS3,Påverkas inte av REACH,1  (obegränsad),EAR99,8532.22.0020,China,https://www.cde.com/resources/ROHS/CDE-Regulatory-Declaration.pdf,1572-1314-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2392/CKS-Series-21.5%28HS%29.JPG,
3,EEU-FC1V220H,Panasonic Electronic Components,CAP ALUM 22UF 20% 35V RADIAL TH,,3 544,I lager,,4,4,Cut Tape (CT),P19678CT-ND,"3,50000","14,00 kr",1,"C84,C85,C106,C107",P19678CT-ND,18,https://industrial.panasonic.com/ww/products/pt/aluminum-cap-lead/models/EEUFC1V220H,,	-,,Aktiv,Uppfyller ROHS3,Påverkas inte av REACH,Ej tillämpligt,EAR99,8532.22.0020,Malaysia,,P19678CT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/644/EEU-FC2A4R7.JPG,
4,ESK106M063AC3AA,KEMET,CAP ALUM 10UF 20% 63V RADIAL TH,,33 672,I lager,,1,1,Bulk,399-6100-ND,"1,47000","1,47 kr",1,C86,399-6100-ND,17,https://search.kemet.com/download/specsheet/ESK106M063AC3AA,,	-,,Aktiv,Uppfyller ROHS3,Påverkas inte av REACH,Ej tillämpligt,EAR99,8532.22.0020,China,,399-6100-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/630/ESK106M063AC3AA.JPG,
5,PHE426DJ4390JR05,KEMET,CAP FILM 3900PF 5% 100VDC RADIAL,,4 767,I lager,,2,2,Box,399-PHE426DJ4390JR05-ND,"4,42000","8,84 kr",1,"C101,C102",399-PHE426DJ4390JR05-ND,31,https://www.yageogroup.com/content/datasheet/asset/file/KEM_F3132_PHE426,,	-,,Aktiv,Uppfyller ROHS3,Påverkas inte av REACH,Ej tillämpligt,EAR99,8532.25.0010,Indonesia,,399-PHE426DJ4390JR05-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/856/MFG_series_PHE426.jpg,
6,R82EC1680Z350J,KEMET,CAP FILM 6800PF 5% 100VDC RADIAL,,955,I lager,,4,4,Bulk,399-19324-ND,"3,68000","14,72 kr",1,"C90,C91,C94,C95",399-19324-ND,33,https://content.kemet.com/datasheets/KEM_F3101_R82.pdf,,	-,,Aktiv,Uppfyller ROHS3,Påverkas inte av REACH,Ej tillämpligt,EAR99,8532.25.0070,Indonesia,,399-19324-ND,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/2/002/676/MFG_R82EC%28640x640%29.jpg,
7,GKG50015,EW Electronics,CAP TRIMMER 10-50PF 100V TH,,3 972,I lager,,1,1,Bulk,2447-GKG50015-ND,"9,11000","9,11 kr",1,C93,2447-GKG50015-ND,8,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/432/GKGxx015_016_Series_DS.pdf,,	-,,Aktiv,Uppfyller ROHS3,Påverkas inte av REACH,Ej tillämpligt,EAR99,8532.30.0010,Switzerland,,2447-GKG50015-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/497/MFG_GKG50015.jpg,
8,RSCX11045R5F13013U,Elna America,CAP 100MF -20% +80% 5.5V T/H,,4 131,I lager,,1,1,Bulk,604-RSCX11045R5F13013U-ND,"17,02000","17,02 kr",1,C103,604-RSCX11045R5F13013U-ND,66,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7158/Elna-RSCX13345R5F13013U-datasheet.pdf,,	-,,Sista tidpunkt för köp,Uppfyller ROHS3,Påverkas inte av REACH,Ej tillämpligt,EAR99,8532.29.0040,Japan,https://www.elna.co.jp:443/en/company/environment/pdf/CertificateComplianceforRoHS3_e.pdf|https://www.elna.co.jp:443/en/company/environment/pdf/CertificateOfCompliance_SVHC205_e.pdf,604-RSCX11045R5F13013U-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/530/DX-5R5V334U.JPG,
9,DSS1NB32A471Q91A,Murata Electronics,FILTER LC(T) 470PF TH,,8 599,I lager,,1,1,Cut Tape (CT),490-9793-1-ND,"5,06000","5,06 kr",1,E1,490-9793-1-ND,16,https://www.murata.com/en-us/products/productdata/8796771614750/ENFF0031.pdf,,	-,,Aktiv,Uppfyller ROHS3,Påverkas inte av REACH,Ej tillämpligt,EAR99,8548.00.0000,Japan,,490-9793-1-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2432/DSS1%20SERIES.jpg,
10,MBB02070C1008FRP00,Vishay Beyschlag/Draloric/BC Components,RES 1 OHM 0.6W 1% AXIAL,,598,I lager,,1,1,Cut Tape (CT),BC1.00ZCT-ND,"1,01000","1,01 kr",1,R182,BC1.00ZCT-ND,7,https://www.vishay.com/docs/28766/mbxsma.pdf,,	-,,Aktiv,Uppfyller ROHS3,Påverkas inte av REACH,Ej tillämpligt,EAR99,8533.21.0090,Czech Republic,,BC1.00ZCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2476/1-Ohm-1%25.jpg,
